Attr 0,Attr 1,Attr 2,Attr 3,Attr 4,Attr 5,Attr 6,Attr 7,Attr 8,Attr 9,Attr 10,Attr 11,Attr 12,Labels
Warsaw,Green,Purple,Specialist,-1.207692916,8.703925995,9.538084926,-1.566895291,-0.892724486,-0.692858365,0.279578632,0.9471694,291.7241185,Z
Warsaw,Green,Pink,Sergeant First Class,1.247941931,-2.072969164,3.696721718,-0.925531624,-0.890083782,-0.723662398,0.258793389,0.956221799,-242.2629235,X
Warsaw,Green,Cyan,First Sergeant,-2.468787875,5.625469345,0.455045707,-1.476662982,-0.888120317,-0.673076623,0.28318885,0.975140399,461.2875248,X
Warsaw,Red,Purple,Sergeant First Class,-1.913924969,7.784832283,9.127880098,-1.142658075,-0.885463451,-0.715411849,0.301490747,0.92920363,100.0399157,X
Warsaw,Green,Lime,Master Sergeant,0.824611053,3.606844848,1.53397042,-0.856751307,-0.88508774,-0.580065759,0.475153473,0.932576664,464.1963315,Z
New York,Red,Purple,Master Sergeant,-1.705016342,7.311071867,8.660086789,-1.323534722,-0.883993342,-0.593355279,0.401214457,0.937681358,237.3205205,X
Warsaw,Red,Blue,Private,-2.720520011,5.930135594,0.334743417,-1.225158233,-0.883589699,-0.694378564,0.290759629,0.973696353,116.5909992,Z
New York,Red,Magenta,Specialist,-1.916191705,5.898177468,0.18265972,-0.486496097,-0.882964488,-0.639559903,0.307624344,0.99101874,-615.3652078,Z
Warsaw,Red,Red,Specialist,0.66313565,-1.709960251,3.066606694,-1.026201832,-0.882581079,-0.610192068,0.432246532,0.914110082,47.82438721,Y
Warsaw,Red,Orange,Private Second Class,-2.244008269,5.570616263,0.767501542,-1.260017686,-0.882433888,-0.71003236,0.251187898,0.92976323,796.1570682,X
Atlanta,Green,Blue,Sergeant,-2.322284558,6.051882137,0.633893782,-0.798960139,-0.882136291,-0.764465994,0.232417927,0.900196019,-103.6310478,Z
Shanghai,Purple,Orange,Sergeant,0.346430273,-1.651694456,2.581766103,-1.551128478,-0.881991494,-0.719615913,0.261247329,0.919650511,-508.1102122,Y
Warsaw,Red,Lavender,Staff Sergeant,1.506824437,4.025960184,1.995413705,-0.527746873,-0.879853065,-0.56719283,0.459470346,0.93369415,24.06035449,Y
Warsaw,Red,Red,Sergeant First Class,1.246843397,4.534423654,1.971948019,-1.413995178,-0.879209891,-0.651299459,0.357373483,0.99503623,64.27901308,Y
New York,Lavender,Blue,Staff Sergeant,0.502748983,-1.687397897,2.597849271,-1.027619582,-0.878985995,-0.560624302,0.465255144,0.896109956,-743.6316495,Y
Warsaw,Yellow,Green,Staff Sergeant,-0.963049283,7.965779861,9.323163018,-1.206344033,-0.877949873,-0.705885925,0.257399621,0.979248374,202.0891728,X
Warsaw,Red,Cyan,Private,1.347225782,-1.596289572,2.713870445,-1.31434302,-0.877234878,-0.716427592,0.249778982,0.924438099,-803.5506378,X
Shanghai,Blue,Lime,First Sergeant,0.814885776,-1.798142198,3.219478848,-1.383410514,-0.876440425,-0.796435155,0.149256726,0.886377211,-355.5383349,Y
Warsaw,Red,Lime,Private,-2.367676431,5.673872491,0.802703637,-1.082952557,-0.875862784,-0.567639631,0.489540501,0.944932539,-166.6510066,Y
New York,Red,Purple,Sergeant First Class,1.336600673,4.490052303,1.440770047,-1.13006459,-0.873764845,-0.787223484,0.133842608,0.934184518,-626.5556333,Z
Sydney,Purple,Blue,Staff Sergeant,-0.972697108,7.945318897,9.031807036,0.044348746,-0.872476715,-0.659323605,0.341500225,0.905677409,971.2408966,Y
New York,Red,Purple,Sergeant,0.437099909,3.999157972,2.859770194,-0.970909223,-0.869737358,-0.752166514,0.211972891,0.945940091,202.6695871,Y
Mumbai,Green,Lime,Master Sergeant,-2.354082103,5.255114016,-0.051220186,-1.543945141,-0.867899382,-0.763093257,0.165416904,0.89781337,44.11196172,X
